CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,geoid
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,Bryan,48,10912,4810912
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,College Station,48,15976,4815976
17820,"Colorado Springs, CO",Metropolitan Statistical Area,Colorado Springs,8,16000,816000
17860,"Columbia, MO",Metropolitan Statistical Area,Columbia,29,15670,2915670
17900,"Columbia, SC",Metropolitan Statistical Area,Columbia,45,16000,4516000
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Columbus,13,19000,1319000
18020,"Columbus, IN",Metropolitan Statistical Area,Columbus,18,14734,1814734
18060,"Columbus, MS",Micropolitan Statistical Area,Columbus,28,15380,2815380
18100,"Columbus, NE",Micropolitan Statistical Area,Columbus,31,10110,3110110
18140,"Columbus, OH",Metropolitan Statistical Area,Columbus,39,18000,3918000
18180,"Concord, NH",Micropolitan Statistical Area,Concord,33,14200,3314200
18220,"Connersville, IN",Micropolitan Statistical Area,Connersville,18,14932,1814932
18260,"Cookeville, TN",Micropolitan Statistical Area,Cookeville,47,16920,4716920
18300,"Coos Bay, OR",Micropolitan Statistical Area,Coos Bay,41,15250,4115250
18380,"Cordele, GA",Micropolitan Statistical Area,Cordele,13,19616,1319616
18420,"Corinth, MS",Micropolitan Statistical Area,Corinth,28,15700,2815700
18460,"Cornelia, GA",Micropolitan Statistical Area,Cornelia,13,19728,1319728
18500,"Corning, NY",Micropolitan Statistical Area,Corning,36,18256,3618256
18580,"Corpus Christi, TX",Metropolitan Statistical Area,Corpus Christi,48,17000,4817000
18620,"Corsicana, TX",Micropolitan Statistical Area,Corsicana,48,17060,4817060
18660,"Cortland, NY",Micropolitan Statistical Area,Cortland,36,18388,3618388
18700,"Corvallis, OR",Metropolitan Statistical Area,Corvallis,41,15800,4115800
18740,"Coshocton, OH",Micropolitan Statistical Area,Coshocton,39,18868,3918868
18780,"Craig, CO",Micropolitan Statistical Area,Craig,8,17760,817760
18820,"Crawfordsville, IN",Micropolitan Statistical Area,Crawfordsville,18,15742,1815742
18860,"Crescent City, CA",Micropolitan Statistical Area,Crescent City,6,17022,617022
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Crestview,12,15475,1215475
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Destin,12,17325,1217325
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Fort Walton Beach,12,24475,1224475
18900,"Crossville, TN",Micropolitan Statistical Area,Crossville,47,18540,4718540
18980,"Cullman, AL",Micropolitan Statistical Area,Cullman,1,18976,118976
19000,"Cullowhee, NC",Micropolitan Statistical Area,Cullowhee,37,15880,3715880
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,Cumberland,24,21325,2421325
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Arlington,48,4000,4804000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Dallas,48,19000,4819000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Denton,48,19972,4819972
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Fort Worth,48,27000,4827000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Grapevine,48,30644,4830644
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Irving,48,37000,4837000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Plano,48,58016,4858016
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Richardson,48,61796,4861796
19140,"Dalton, GA",Metropolitan Statistical Area,Dalton,13,21380,1321380
19180,"Danville, IL",Metropolitan Statistical Area,Danville,17,18563,1718563
19220,"Danville, KY",Micropolitan Statistical Area,Danville,21,19882,2119882
19260,"Danville, VA",Micropolitan Statistical Area,Danville,51,21344,5121344
